,Date,Volume (BTC)
545,2016-12-27,7225.77311731
546,2016-12-28,12285.111311700002
547,2016-12-29,7858.45685371
548,2016-12-30,10755.036494299999
549,2016-12-31,4162.92129897
550,2017-01-01,6850.59330859
551,2017-01-02,8167.38103018
552,2017-01-03,9089.65802529
553,2017-01-04,21562.456972
554,2017-01-05,36018.8611199
555,2017-01-06,27916.7030989
556,2017-01-07,20401.113591
557,2017-01-08,8937.49270783
558,2017-01-09,8716.18294096
559,2017-01-10,8535.5216881
560,2017-01-11,35893.768367900004
561,2017-01-12,17400.1415546
562,2017-01-13,11409.52033
563,2017-01-14,6614.71899162
564,2017-01-15,4231.46390349
565,2017-01-16,6166.04397741
566,2017-01-17,12264.1693846
567,2017-01-18,11181.8988785
568,2017-01-19,11094.6032976
569,2017-01-20,6618.62776406
570,2017-01-21,5865.63203056
571,2017-01-22,7166.665478899999
572,2017-01-23,3514.74142946
573,2017-01-24,9405.046565
574,2017-01-25,5291.55474211
575,2017-01-26,5164.8970199
576,2017-01-27,4830.53516221
577,2017-01-28,1175.86352983
578,2017-01-29,1349.01480033
579,2017-01-30,3121.18754443
580,2017-01-31,9507.10183224
581,2017-02-01,6954.39947163
582,2017-02-02,8269.68053649
583,2017-02-03,10928.0242213
584,2017-02-04,5752.28733969
585,2017-02-05,4348.17045024
586,2017-02-06,5080.84835472
587,2017-02-07,5372.1326253
588,2017-02-08,9633.26465194
589,2017-02-09,25150.070163999997
590,2017-02-10,10731.290069
591,2017-02-11,4472.51261675
592,2017-02-12,2683.99735828
593,2017-02-13,4547.26036851
594,2017-02-14,6761.10806309
595,2017-02-15,3095.66000003
596,2017-02-16,5996.10412989
597,2017-02-17,6085.02260605
598,2017-02-18,4474.94930623
599,2017-02-19,2270.8499116
600,2017-02-20,3664.37368596
601,2017-02-21,8395.47371599
602,2017-02-22,11673.0892657
603,2017-02-23,11753.238560200001
604,2017-02-24,19598.2310258
605,2017-02-25,6238.43763039
606,2017-02-26,3536.48621434
607,2017-02-27,4640.77358977
608,2017-02-28,7562.47409479
609,2017-03-01,6013.065822899999
610,2017-03-02,7762.73243908
611,2017-03-03,7545.47720312
612,2017-03-04,4951.23210502
613,2017-03-05,3026.01739466
614,2017-03-06,4249.64793811
615,2017-03-07,14450.0379368
616,2017-03-08,13399.438209200001
617,2017-03-09,7654.73834924
618,2017-03-10,33467.943558
619,2017-03-11,7346.7869927
620,2017-03-12,5793.90851583
621,2017-03-13,5637.36296266
622,2017-03-14,5745.49650884
623,2017-03-15,3930.50022526
624,2017-03-16,15246.5527602
625,2017-03-17,16704.573220299997
626,2017-03-18,21292.604308500002
627,2017-03-19,12201.861411599999
628,2017-03-20,7497.91103414
