,Date,Daily Closing Price
326,2016-05-22,438.8
327,2016-05-23,442.99
328,2016-05-24,443.97
329,2016-05-25,448.7
330,2016-05-26,452.07
331,2016-05-27,472.05
332,2016-05-28,519.41
333,2016-05-29,517.84
334,2016-05-30,527.64
335,2016-05-31,531.84
336,2016-06-01,536.95
337,2016-06-02,538.0
338,2016-06-03,569.94
339,2016-06-04,573.8
340,2016-06-05,573.91
341,2016-06-06,584.5
342,2016-06-07,577.54
343,2016-06-08,583.03
344,2016-06-09,575.01
345,2016-06-10,578.01
346,2016-06-11,610.0
347,2016-06-12,672.13
348,2016-06-13,704.49
349,2016-06-14,685.25
350,2016-06-15,695.0
351,2016-06-16,766.62
352,2016-06-17,745.22
353,2016-06-18,754.83
354,2016-06-19,761.44
355,2016-06-20,730.85
356,2016-06-21,667.54
357,2016-06-22,601.3
358,2016-06-23,624.91
359,2016-06-24,661.71
360,2016-06-25,659.86
361,2016-06-26,630.16
362,2016-06-27,657.5
363,2016-06-28,646.08
364,2016-06-29,634.11
365,2016-06-30,667.95
366,2016-07-01,674.86
367,2016-07-02,702.48
368,2016-07-03,658.27
369,2016-07-04,680.35
370,2016-07-05,668.94
371,2016-07-06,674.7
372,2016-07-07,638.19
373,2016-07-08,663.0
374,2016-07-09,647.78
375,2016-07-10,648.76
376,2016-07-11,649.32
377,2016-07-12,663.52
378,2016-07-13,655.06
379,2016-07-14,659.1
380,2016-07-15,664.6
381,2016-07-16,662.45
382,2016-07-17,679.54
383,2016-07-18,672.1
384,2016-07-19,673.48
385,2016-07-20,667.03
386,2016-07-21,663.99
387,2016-07-22,649.95
388,2016-07-23,655.52
389,2016-07-24,661.47
390,2016-07-25,654.96
391,2016-07-26,651.24
392,2016-07-27,653.48
393,2016-07-28,653.07
394,2016-07-29,654.61
395,2016-07-30,654.67
396,2016-07-31,623.83
397,2016-08-01,606.35
398,2016-08-02,540.0
399,2016-08-03,563.42
400,2016-08-04,576.13
401,2016-08-05,572.5
402,2016-08-06,589.48
403,2016-08-07,592.47
404,2016-08-08,591.88
405,2016-08-09,582.75
406,2016-08-10,590.27
407,2016-08-11,585.22
408,2016-08-12,585.91
409,2016-08-13,583.52
410,2016-08-14,568.76
411,2016-08-15,565.55
412,2016-08-16,574.99
413,2016-08-17,570.91
414,2016-08-18,571.49
415,2016-08-19,572.91
416,2016-08-20,577.88
417,2016-08-21,577.55
418,2016-08-22,582.78
419,2016-08-23,580.23
420,2016-08-24,577.58
421,2016-08-25,575.71
422,2016-08-26,578.78
423,2016-08-27,568.31
424,2016-08-28,573.2
425,2016-08-29,571.5
426,2016-08-30,575.91
427,2016-08-31,570.75
428,2016-09-01,571.05
429,2016-09-02,572.0
