,Date,Volume (Currency)
788,2017-08-27,17263967.2279
789,2017-08-28,37077203.3926
790,2017-08-29,53491168.403000005
791,2017-08-30,39800539.1574
792,2017-08-31,41726210.489
793,2017-09-01,73889667.5036
794,2017-09-02,79492706.8022
795,2017-09-03,51112034.9968
796,2017-09-04,107792606.939
797,2017-09-05,88444473.1491
798,2017-09-06,75306805.3678
799,2017-09-07,42435328.9868
800,2017-09-08,103569423.201
801,2017-09-09,42689334.6235
802,2017-09-10,61040452.0474
803,2017-09-11,47148979.9818
804,2017-09-12,56268039.7928
805,2017-09-13,115516897.11700001
806,2017-09-14,146101729.729
807,2017-09-15,203168385.98299998
808,2017-09-16,84905914.7591
809,2017-09-17,42657776.5635
810,2017-09-18,67988469.4596
811,2017-09-19,60404491.5738
812,2017-09-20,45847238.8634
813,2017-09-21,67012342.1829
814,2017-09-22,54271184.8163
815,2017-09-23,37609099.7684
816,2017-09-24,24009707.8217
817,2017-09-25,57632408.0904
818,2017-09-26,39220959.7026
819,2017-09-27,61255648.5346
820,2017-09-28,40309035.7702
821,2017-09-29,50336312.6495
822,2017-09-30,32073448.8202
823,2017-10-01,30871704.788000003
824,2017-10-02,36293751.0114
825,2017-10-03,53551605.4793
826,2017-10-04,36068254.94
827,2017-10-05,35912272.841
828,2017-10-06,36552658.1455
829,2017-10-07,20320065.235999998
830,2017-10-08,45490443.5718
831,2017-10-09,60473207.2941
832,2017-10-10,56088789.3534
833,2017-10-11,47256315.4188
834,2017-10-12,102559923.235
835,2017-10-13,155848051.872
836,2017-10-14,47779356.4521
837,2017-10-15,64464008.4228
838,2017-10-16,51508749.1147
839,2017-10-17,51035573.567
840,2017-10-18,101657249.579
841,2017-10-19,56087316.5641
842,2017-10-20,89014299.8806
843,2017-10-21,92912504.8326
844,2017-10-22,71898806.1552
845,2017-10-23,89530043.1578
846,2017-10-24,97560230.1937
847,2017-10-25,68370411.1314
848,2017-10-26,69079451.8057
849,2017-10-27,69053794.4428
850,2017-10-28,33993472.6929
851,2017-10-29,96361934.2927
852,2017-10-30,58637080.1393
853,2017-10-31,84354477.9752
854,2017-11-01,84891427.3016
855,2017-11-02,184979262.336
856,2017-11-03,116037544.14700001
